Time	Fx	Fy	Fz	Mx	My	Mz
4.164000	-0.31555140	-0.00015786	1.31264329	-0.64695805	-0.20835623	-0.15512739
4.165000	-0.31555140	0.16427250	1.64150405	-0.49897081	-0.40567267	-0.15512739
4.166000	-0.31555140	0.65756345	0.32606116	-0.20299618	-0.30701452	-0.22912106
4.167000	-0.31555140	-0.16458821	1.31264329	-0.20299618	-0.20835623	-0.15512739
4.168000	-0.47998178	0.98642403	0.98378259	0.38895288	-0.30701452	-0.30311471
4.169000	-0.47998178	0.16427250	-0.00279956	-0.35098350	-0.30701452	-0.22912106
4.170000	-0.64441210	-0.16458821	0.32606116	-0.79494536	-0.20835623	-0.15512739
4.171000	-0.64441210	-0.00015786	0.98378259	0.24096578	-0.20835623	-0.30311471
4.172000	-0.31555140	-0.00015786	1.31264329	-0.20299618	-0.20835623	-0.00714012
4.173000	-0.15112105	0.16427250	-0.33166027	0.24096578	-0.20835623	-0.00714012
4.174000	-0.64441210	0.65756345	-0.33166027	-0.64695805	-0.10969816	-0.00714012
4.175000	0.01330918	0.49313310	-0.66052049	-0.49897081	-0.01103994	-0.15512739
4.176000	-0.47998178	-0.00015786	-0.33166027	0.24096578	-0.01103994	-0.15512739
4.177000	-0.64441210	-0.00015786	2.29922485	-0.20299618	-0.10969816	-0.15512739
4.178000	-0.31555140	0.65756345	1.97036469	-0.05500886	0.18627648	-0.22912106
4.179000	-0.31555140	-0.16458821	1.64150405	-0.20299618	-0.01103994	-0.08113378
4.180000	0.01330918	0.16427250	0.98378259	0.09297836	-0.20835623	-0.22912106
4.181000	-0.47998178	0.16427250	-0.33166027	-0.20299618	0.18627648	-0.22912106
4.182000	0.01330918	-0.00015786	-0.33166027	-0.05500886	-0.20835623	-0.15512739
4.183000	-0.15112105	0.49313310	0.32606116	-0.35098350	-0.30701452	-0.22912106
4.184000	-0.15112105	0.16427250	0.65492189	-0.05500886	-0.10969816	-0.15512739
4.185000	-0.47998178	0.16427250	2.62808561	-0.20299618	-0.01103994	-0.15512739
4.186000	-0.64441210	0.49313310	1.31264329	0.09297836	-0.01103994	-0.08113378
4.187000	-0.97327274	0.16427250	1.64150405	0.68492752	0.08761827	-0.15512739
4.188000	-0.80884236	0.98642403	1.64150405	-0.05500886	0.28493470	-0.30311471
4.189000	-0.15112105	0.32870275	0.65492189	0.24096578	-0.01103994	0.21484083
4.190000	-0.47998178	0.32870275	1.31264329	0.53694022	-0.01103994	-0.30311471
4.191000	-0.15112105	-0.00015786	0.98378259	-0.05500886	-0.01103994	-0.08113378
4.192000	-0.64441210	-0.00015786	0.65492189	0.38895288	-0.10969816	-0.15512739
4.193000	-0.15112105	0.16427250	1.64150405	0.98090219	-0.01103994	-0.30311471
4.194000	-0.15112105	-0.00015786	0.65492189	0.38895288	0.28493470	-0.00714012
